Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
14.0,73,2.3513752571634776,82.0,1,1010.82,2,3,3.5,1,2
39.0,96,2.2512917986064953,71.0,1,1011.43,7,0,10.0,1,1
30.0,64,2.0794415416798357,16.0,0,1018.72,5,0,5.5,2,0
38.0,83,0.9162907318741551,82.0,0,1026.25,7,0,1.0,0,0
27.0,74,2.8903717578961645,66.0,3,990.67,1,3,2.5,2,2
32.0,55,1.5040773967762742,26.0,3,1010.03,2,1,5.0,1,1
-2.0,97,2.1972245773362196,86.0,3,990.87,1,3,4.0,1,3
3.0,85,1.9459101490553132,96.0,1,984.46,1,3,3.5,1,3
3.0,83,1.9459101490553132,66.0,3,999.44,0,3,1.0,2,3
28.0,74,2.2512917986064953,107.0,0,1012.13,8,3,7.5,0,0
38.0,43,1.0986122886681098,16.0,0,1029.16,11,2,7.5,1,0
12.0,59,2.4423470353692043,25.0,1,1016.08,3,2,5.5,2,1
-10.0,87,2.772588722239781,67.0,3,986.19,0,3,1.5,1,3
24.0,21,1.5040773967762742,8.0,0,1018.88,8,3,5.5,0,0
10.0,50,2.0149030205422647,46.0,1,1000.44,2,1,8.5,2,1
30.0,27,2.0794415416798357,13.0,1,1016.38,5,0,7.5,1,0
13.0,102,2.5649493574615367,72.0,0,1012.25,4,1,8.0,1,0
-10.0,67,2.2512917986064953,75.0,3,991.53,1,3,3.0,2,3
-7.0,88,2.6026896854443837,98.0,3,980.31,1,3,3.0,1,3
33.0,36,2.1400661634962708,18.0,0,1014.29,8,1,9.5,2,0
26.0,73,2.6741486494265287,29.0,3,1012.02,1,1,9.0,1,1
38.0,83,2.0794415416798357,101.0,1,1017.94,4,0,8.5,2,1
4.0,79,0.6931471805599453,85.0,1,982.53,1,3,4.5,1,3
17.0,72,2.1400661634962708,62.0,3,1010.16,2,1,3.0,2,2
40.0,57,1.6094379124341003,12.0,1,1020.73,11,3,9.5,0,0
24.0,61,2.0149030205422647,3.0,1,1018.15,7,2,5.5,2,0
30.0,70,2.833213344056216,54.0,1,1007.75,0,3,3.0,2,2
28.0,85,2.0794415416798357,97.0,3,991.07,1,0,2.0,0,2
2.0,61,2.8622008809294686,63.0,3,995.74,0,3,1.0,1,3
4.0,95,1.252762968495368,56.0,3,984.63,1,3,4.5,1,3
15.0,97,3.1780538303479458,91.0,3,1009.36,13,3,2.5,2,2
29.0,69,1.3862943611198906,15.0,0,1012.09,10,3,5.5,1,0
35.0,21,2.3978952727983707,6.0,0,1026.81,5,2,7.5,0,0
11.0,90,3.2771447329921766,76.0,1,996.17,0,3,1.0,2,2
2.0,105,2.995732273553991,109.0,3,991.68,7,3,3.5,2,3
27.0,64,2.5257286443082556,37.0,1,1017.27,3,2,8.0,0,1
36.0,22,0.6931471805599453,0.0,0,1028.63,10,1,5.5,2,0
28.0,54,2.772588722239781,39.0,1,1018.86,3,3,8.5,2,1
42.0,64,1.0986122886681098,18.0,1,1028.55,8,2,8.0,2,0
21.0,43,2.3978952727983707,11.0,0,1019.41,11,0,6.0,2,0
33.0,66,2.302585092994046,18.0,1,1014.34,3,2,6.0,2,1
26.0,25,1.252762968495368,14.0,1,1010.34,8,3,5.0,2,0
